ID,Title,Watched,Year,Genre,Runtime,Tier,Medium
175,The Incredibles,2018-06-29,2004.0,Adventure,116.0,A,Home
178,The Strangers,2018-07-02,2008.0,Horror,91.0,B,Home
179,Jurassic World: Fallen Kingdom,2018-07-03,2018.0,Adventure,130.0,A,Cinema
181,The Strangers Prey at Night,2018-07-04,2018.0,Horror,100.0,C,Cinema
183,The Shining,2018-07-05,2016.0,Horror,87.0,S,Home
185,Almost Famous,2018-07-08,2000.0,Drama,162.0,A,Home
186,American Animals,2018-07-10,2018.0,Crime,120.0,A,Cinema
189,Hush,2018-07-14,2016.0,Horror,87.0,A,Home
195,Cake,2018-07-20,2017.0,Adventure,6.0,A,Home
196,Thelma,2018-07-24,2017.0,Fantasy,116.0,A,Home
197,21 Jump Street,2018-07-25,2012.0,Comedy,110.0,A,Home
198,22 Jump Street,2018-07-25,2014.0,Comedy,112.0,A,Home
199,Faster,2018-07-26,2010.0,Action,98.0,C,Home
200,Mission Impossible Fallout,2018-07-27,2018.0,Action,148.0,A,Cinema
201,The Lobster,2018-07-27,2015.0,Comedy,119.0,S,Home
202,Predator,2018-07-30,1987.0,Horror,107.0,A,Home
205,Slow West,2018-08-02,2015.0,Western,84.0,A,Home
206,Before Sunrise,2018-08-03,1995.0,Drama,105.0,A,Home
208,Avengers: Infinity War,2018-08-04,2018.0,Action,160.0,S,Cinema
209,The First Purge,2018-08-06,2018.0,Horror,112.0,B,Cinema
212,Predators,2018-08-08,2010.0,Action,108.0,A,Home
213,The Raid,2018-08-08,2011.0,Action,102.0,A,Home
215,Rampage,2018-08-09,2018.0,Action,107.0,B,Cinema
216,Ant Man and the Wasp,2018-08-10,2018.0,Adventure,125.0,B,Cinema
217,Blackkklansman,2018-08-13,2018.0,Crime,136.0,B,Cinema
218,Tag,2018-08-14,2018.0,Comedy,105.0,A,Cinema
222,"Three Billboards Outside Ebbing, Missouri",2018-08-18,2017.0,Crime,116.0,A,Home
223,Rope,2018-08-21,1948.0,Crime,81.0,S,Home
224,All Eyez on Me,2018-08-31,2017.0,Drama,139.0,C,Home
225,Mean Girls,2018-08-31,2004.0,Comedy,97.0,S,Home
226,Exam,2018-09-04,2009.0,Thriller,101.0,C,Home
227,Mamma Mia!,2018-09-04,2008.0,Musical,110.0,B,Home
232,The Predator,2018-09-21,2018.0,Action,118.0,C,Cinema
233,Ocean's Eight,2018-09-22,2018.0,Crime,111.0,B,Cinema
236,Upgrade,2018-09-23,2018.0,Action,101.0,A,Home
238,Eighth Grade,2018-10-05,2018.0,Comedy,94.0,A,Home
240,A Simple Favor,2018-10-09,2018.0,Crime,119.0,A,Cinema
243,Apostle,2018-10-13,2018.0,Horror,130.0,A,Home
244,The Conjuring,2018-10-13,2013.0,Horror,112.0,A,Home
245,The Conjuring,2018-10-14,2013.0,Horror,112.0,A,Home
246,The Conjuring 2,2018-10-14,2016.0,Horror,134.0,A,Home
247,Venom,2018-10-16,2018.0,Action,140.0,B,Cinema
248,Halloween,2018-10-23,2018.0,Horror,104.0,B,Cinema
252,Goodfellas,2018-10-26,1990.0,Crime,148.0,S,Home
256,Searching,2018-11-06,2018.0,Thriller,102.0,A,Cinema
257,Touch of Evil,2018-11-09,1958.0,Crime,95.0,A,Home
258,American Animals,2018-11-10,2018.0,Crime,120.0,A,Home
260,Overlord,2018-11-12,2018.0,Horror,108.0,A,Cinema
263,The Mission,2018-11-30,1986.0,Drama,126.0,B,Home
264,Children of Men,2018-12-01,2006.0,Science Fiction,114.0,S,Home
265,Dead Poets Society,2018-12-02,1989.0,Drama,140.0,C,Home
266,Creed II,2018-12-06,2018.0,Sport,130.0,A,Cinema
267,Fantastic Beasts: The Crimes of Grindewald,2018-12-11,2018.0,Fantasy,113.0,C,Cinema
268,Hot Fuzz,2018-12-12,2007.0,Comedy,121.0,A,Home
269,Con Air,2018-12-13,1997.0,Action,123.0,B,Home
270,Blindspotting,2018-12-14,2018.0,Drama,96.0,A,Cinema
271,Spider-Man Into the Spiderverse,2018-12-15,2018.0,Adventure,116.0,S,Cinema
272,Avengers: Infinity War,2018-12-17,2018.0,Action,160.0,S,Home
273,Goodfellas,2018-12-17,1990.0,Crime,148.0,S,Home
274,Spider-Man Into the Spiderverse,2018-12-20,2018.0,Adventure,116.0,S,Cinema
275,Halloween,2018-12-22,2018.0,Horror,104.0,B,Cinema
276,Aquaman,2018-12-27,2018.0,Action,142.0,C,Cinema
277,Bumblebee,2018-12-30,2018.0,Action,114.0,A,Cinema
278,Brigsby Bear,2018-12-31,2017.0,Comedy,100.0,S,Home
279,Robin Hood,2019-01-04,2018.0,Adventure,114.0,C,Cinema
280,The Favourite,2019-01-05,2018.0,Comedy,121.0,S,Cinema
282,The Night Comes for Us,2019-01-11,2018.0,Action,121.0,A,Home
283,Paddington 2,2019-01-11,2017.0,Comedy,104.0,S,Home
284,Roma,2019-01-22,2018.0,Drama,135.0,S,Cinema
285,Fyre,2019-01-23,2019.0,Documentary,97.0,C,Home
286,Inception,2019-01-26,2010.0,Science Fiction,162.0,A,Home
287,The Meg,2019-01-28,2018.0,Adventure,112.0,C,Home
288,Shirkers,2019-01-28,2018.0,Documentary,96.0,S,Home
